elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GSW,201740,114M 1100y,330920.0,567685.5,-3.081403,54.998935,NY3091967685,0
GSW,201850,114M 1210y,331018.2,567708.0,-3.079873,54.999151,NY3101867708,0
GSW,201960,114M 1320y,331117.1,567727.3,-3.078332,54.999338,NY3111767727,0
GSW,202070,114M 1430y,331215.5,567746.4,-3.076798,54.999523,NY3121567746,0
GSW,202180,114M 1540y,331314.0,567765.3,-3.075264,54.999707,NY3131367765,0
GSW,202290,114M 1650y,331412.5,567784.1,-3.07373,54.999889,NY3141267784,0
GSW,202400,115M 0000y,331510.9,567803.0,-3.072195,55.000072,NY3151067802,-2
GSW,202510,115M 0110y,331609.0,567821.7,-3.070668,55.000254,NY3160867821,-2
GSW,202620,115M 0220y,331707.0,567840.4,-3.06914,55.000436,NY3170667840,-2
GSW,202730,115M 0330y,331805.0,567859.2,-3.067613,55.000618,NY3180467859,-2
GSW,202840,115M 0440y,331903.0,567877.9,-3.066086,55.000799,NY3190267877,-2
GSW,202950,115M 0550y,332003.2,567897.0,-3.064523,55.000985,NY3200367897,5
GSW,203060,115M 0660y,332103.5,567916.0,-3.062961,55.001169,NY3210367916,5
GSW,203170,115M 0770y,332203.7,567935.0,-3.061399,55.001354,NY3220367935,5
GSW,203280,115M 0880y,332304.0,567954.0,-3.059836,55.001538,NY3230367953,5
GSW,203390,115M 0990y,332402.5,567972.6,-3.0583,55.001719,NY3240267972,0
GSW,203500,115M 1100y,332502.1,567983.9,-3.056746,55.001833,NY3250267983,0
GSW,203610,115M 1210y,332602.3,567981.7,-3.05518,55.001828,NY3260267981,0
GSW,203720,115M 1320y,332701.4,567966.8,-3.053628,55.001707,NY3270167966,0
GSW,203830,115M 1430y,332798.3,567939.1,-3.052107,55.001471,NY3279867939,0
GSW,203940,115M 1540y,332890.5,567898.7,-3.050655,55.001121,NY3289067898,0
GSW,204050,115M 1650y,332976.1,567845.6,-3.049305,55.000655,NY3297667845,0
GSW,204160,116M 0000y,333053.8,567781.4,-3.048076,55.000089,NY3305367781,0
GSW,204270,116M 0110y,333123.9,567707.7,-3.046962,54.999436,NY3312367707,3
GSW,204380,116M 0220y,333186.2,567627.2,-3.045971,54.998721,NY3318667627,3
GSW,204490,116M 0330y,333243.6,567543.1,-3.045054,54.997973,NY3324367543,1
GSW,204565,116M 0405y,333282.8,567485.7,-3.044428,54.997463,NY3328267485,1
GTW1,52812,30M 0012y,499189.3,149391.2,-0.580616,51.235089,SU9918949391,-24
GTW1,52910,30M 0110y,499160.2,149471.9,-0.581009,51.23582,SU9916049471,-24
GTW1,53020,30M 0220y,499127.3,149562.4,-0.581456,51.236639,SU9912749562,-24
GTW1,53130,30M 0330y,499099.9,149654.7,-0.581823,51.237473,SU9909949654,-24
GTW1,53240,30M 0440y,499078.7,149748.6,-0.5821,51.238322,SU9907849748,-24
GTW1,53350,30M 0550y,499058.9,149842.9,-0.582358,51.239172,SU9905849842,-24
GTW1,53460,30M 0660y,499038.6,149937.0,-0.582623,51.240022,SU9903849937,-24
GTW1,53570,30M 0770y,499014.4,150030.3,-0.582944,51.240864,SU9901450030,-6
GTW1,53680,30M 0880y,498989.7,150123.4,-0.583272,51.241706,SU9898950123,1
GTW1,53790,30M 0990y,498965.1,150221.3,-0.583596,51.24259,SU9896550221,1
