RID,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,WFJ Scheduled Arrival Time,WFJ Actual Arrival Time,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,MKC Scheduled Arrival Time,MKC Actual Arrival Time,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,TAM Scheduled Arrival Time,TAM Actual Arrival Time,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Arrival Time,LTV Actual Arrival Time,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,STA Scheduled Arrival Time,STA Actual Arrival Time,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Arrival Time,CRE Actual Arrival Time,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Arrival Time,RUN Actual Arrival Time,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason,EUS Delay Minutes,EUS Delay Classification,MKC Delay Minutes,MKC Delay Classification,CRE Delay Minutes,CRE Delay Classification,LIV Delay Minutes,LIV Delay Classification
202306028333026,2023-06-02,VT,2023-06-02 13:43:00,2023-06-02 13:44:00,,,,,,,2023-06-02 14:14:00,2023-06-02 14:14:00,2023-06-02 14:15:00,2023-06-02 14:15:00,,,,,,,,,,,,2023-06-02 15:07:00,2023-06-02 15:02:00,2023-06-02 15:08:00,2023-06-02 15:07:00,,2023-06-02 15:26:00,2023-06-02 15:24:00,2023-06-02 15:27:00,2023-06-02 15:28:00,,2023-06-02 15:44:00,2023-06-02 15:43:00,2023-06-02 15:46:00,2023-06-02 15:46:00,,2023-06-02 16:08:00,2023-06-02 16:01:00,,1.0,Not Delayed,0.0,Not Delayed,1.0,Not Delayed,-7.0,Not Delayed
202306028333027,2023-06-02,VT,2023-06-02 14:43:00,2023-06-02 14:43:00,,,,,,,2023-06-02 15:14:00,2023-06-02 15:13:00,2023-06-02 15:15:00,2023-06-02 15:15:00,,,,,,,,,,,,2023-06-02 16:07:00,2023-06-02 16:05:00,2023-06-02 16:08:00,2023-06-02 16:07:00,,2023-06-02 16:26:00,2023-06-02 16:26:00,2023-06-02 16:27:00,2023-06-02 16:30:00,,2023-06-02 16:44:00,2023-06-02 16:45:00,2023-06-02 16:46:00,2023-06-02 16:48:00,,2023-06-02 17:08:00,2023-06-02 17:04:00,,0.0,Not Delayed,0.0,Not Delayed,3.0,Not Delayed,-4.0,Not Delayed
202306028333028,2023-06-02,VT,2023-06-02 15:43:00,2023-06-02 15:44:00,,,,,,,2023-06-02 16:14:00,2023-06-02 16:14:00,2023-06-02 16:15:00,2023-06-02 16:16:00,,,,,,,,,,,,2023-06-02 17:07:00,2023-06-02 17:04:00,2023-06-02 17:09:00,2023-06-02 17:08:00,,2023-06-02 17:26:00,2023-06-02 17:25:00,2023-06-02 17:28:00,2023-06-02 17:28:00,,2023-06-02 17:45:00,2023-06-02 17:43:00,2023-06-02 17:47:00,2023-06-02 17:47:00,,2023-06-02 18:08:00,2023-06-02 18:02:00,,1.0,Not Delayed,1.0,Not Delayed,0.0,Not Delayed,-6.0,Not Delayed
202306047633598,2023-06-04,VT,2023-06-04 08:20:00,2023-06-04 08:19:00,,,,2023-06-04 08:36:00,2023-06-04 08:37:00,,2023-06-04 09:11:00,2023-06-04 09:08:00,2023-06-04 09:12:00,2023-06-04 09:12:00,,2023-06-04 10:00:00,2023-06-04 09:58:00,2023-06-04 10:01:00,2023-06-04 10:01:00,,2023-06-04 10:07:00,2023-06-04 10:06:00,2023-06-04 10:08:00,2023-06-04 10:09:00,,2023-06-04 10:23:00,2023-06-04 10:22:00,2023-06-04 10:24:00,2023-06-04 10:23:00,,2023-06-04 10:42:00,2023-06-04 10:40:00,2023-06-04 10:43:00,2023-06-04 10:43:00,,2023-06-04 11:00:00,2023-06-04 10:59:00,2023-06-04 11:02:00,2023-06-04 11:02:00,,2023-06-04 11:18:00,2023-06-04 11:19:00,,-1.0,Not Delayed,0.0,Not Delayed,0.0,Not Delayed,1.0,Not Delayed
202306047633601,2023-06-04,VT,2023-06-04 09:19:00,2023-06-04 09:18:00,,,,2023-06-04 09:36:00,2023-06-04 09:36:00,,2023-06-04 10:07:00,2023-06-04 10:04:00,2023-06-04 10:08:00,2023-06-04 10:08:00,,2023-06-04 11:00:00,2023-06-04 10:55:00,2023-06-04 11:01:00,2023-06-04 11:02:00,,2023-06-04 11:07:00,2023-06-04 11:07:00,2023-06-04 11:08:00,2023-06-04 11:09:00,,2023-06-04 11:23:00,2023-06-04 11:21:00,2023-06-04 11:24:00,2023-06-04 11:23:00,,2023-06-04 11:42:00,2023-06-04 11:40:00,2023-06-04 11:43:00,2023-06-04 11:43:00,,2023-06-04 12:00:00,2023-06-04 12:01:00,2023-06-04 12:02:00,2023-06-04 12:05:00,,2023-06-04 12:18:00,2023-06-04 12:22:00,,-1.0,Not Delayed,0.0,Not Delayed,0.0,Not Delayed,4.0,Not Delayed
202306047633604,2023-06-04,VT,2023-06-04 10:19:00,2023-06-04 10:19:00,,,,2023-06-04 10:36:00,2023-06-04 10:36:00,,2023-06-04 11:07:00,2023-06-04 11:06:00,2023-06-04 11:09:00,2023-06-04 11:09:00,,,,,,,,,,,,2023-06-04 12:19:00,2023-06-04 12:16:00,2023-06-04 12:21:00,2023-06-04 12:20:00,,2023-06-04 12:39:00,2023-06-04 12:37:00,2023-06-04 12:43:00,2023-06-04 12:43:00,,2023-06-04 13:00:00,2023-06-04 12:58:00,2023-06-04 13:02:00,2023-06-04 13:02:00,,2023-06-04 13:18:00,2023-06-04 13:21:00,,0.0,Not Delayed,0.0,Not Delayed,0.0,Not Delayed,3.0,Not Delayed
202306047633607,2023-06-04,VT,2023-06-04 11:19:00,2023-06-04 11:19:00,,,,2023-06-04 11:36:00,2023-06-04 11:36:00,,2023-06-04 12:09:00,2023-06-04 12:07:00,2023-06-04 12:10:00,2023-06-04 12:10:00,,,,,,,,,,,,2023-06-04 13:05:00,2023-06-04 13:04:00,2023-06-04 13:06:00,2023-06-04 13:06:00,,2023-06-04 13:24:00,2023-06-04 13:23:00,2023-06-04 13:25:00,2023-06-04 13:25:00,,2023-06-04 13:42:00,2023-06-04 13:41:00,2023-06-04 13:44:00,2023-06-04 13:43:00,,2023-06-04 14:04:00,2023-06-04 14:02:00,,0.0,Not Delayed,0.0,Not Delayed,0.0,Not Delayed,-2.0,Not Delayed
202306047633612,2023-06-04,VT,2023-06-04 12:42:00,2023-06-04 12:42:00,,,,,,,2023-06-04 13:14:00,2023-06-04 13:17:00,2023-06-04 13:15:00,2023-06-04 13:20:00,,,,,,,,,,,,,,,,,2023-06-04 14:23:00,2023-06-04 14:29:00,2023-06-04 14:26:00,2023-06-04 14:32:00,,2023-06-04 14:43:00,2023-06-04 14:48:00,2023-06-04 14:44:00,2023-06-04 14:50:00,,2023-06-04 15:04:00,2023-06-04 15:07:00,,0.0,Not Delayed,5.0,Mild Delay,6.0,Mild Delay,3.0,Not Delayed
202306047633615,2023-06-04,VT,2023-06-04 13:42:00,2023-06-04 13:42:00,,,,,,,2023-06-04 14:14:00,2023-06-04 14:17:00,2023-06-04 14:15:00,2023-06-04 14:19:00,,,,,,,,,,,,,,,,,2023-06-04 15:23:00,2023-06-04 15:28:00,2023-06-04 15:26:00,2023-06-04 15:30:00,,2023-06-04 15:43:00,2023-06-04 15:45:00,2023-06-04 15:44:00,2023-06-04 15:48:00,,2023-06-04 16:04:00,2023-06-04 16:04:00,,0.0,Not Delayed,4.0,Not Delayed,4.0,Not Delayed,0.0,Not Delayed
202306047633618,2023-06-04,VT,2023-06-04 14:42:00,2023-06-04 14:42:00,,,,,,,2023-06-04 15:14:00,2023-06-04 15:19:00,2023-06-04 15:15:00,2023-06-04 15:22:00,,,,,,,,,,,,,,,,,2023-06-04 16:23:00,2023-06-04 16:30:00,2023-06-04 16:26:00,2023-06-04 16:32:00,,2023-06-04 16:43:00,2023-06-04 16:48:00,2023-06-04 16:44:00,2023-06-04 16:51:00,,2023-06-04 17:04:00,2023-06-04 17:09:00,,0.0,Not Delayed,7.0,Mild Delay,6.0,Mild Delay,5.0,Mild Delay
